call_id,caller_age_days,calls_per_day,call_duration_sec,avg_call_duration_sec,unique_receivers_24h,receiver_block_rate,spam_reports_count,country_code_risk_score,night_call_ratio,sequential_dialing_score,graph_degree,previous_fraud_associations,reputation_score,fraud_label
CALL0000228,1095,8,755,236.2,3,21.87,5,43.55,19.38,17.16,83,4,77.96,0
CALL0000951,1827,32,344,576.5,17,27.22,1,27.09,37.85,14.47,257,1,93.02,0
CALL0000947,338,3,724,214.0,16,8.04,1,3.83,1.49,36.69,120,1,88.77,0
CALL0000797,2482,21,69,600.5,3,21.34,6,25.28,20.29,15.93,183,5,63.06,0
CALL0000502,592,13,624,478.1,1,6.2,3,15.32,11.61,31.63,110,6,65.15,0
CALL0000465,488,37,121,538.3,9,10.71,2,15.16,13.67,20.58,232,2,83.92,0
CALL0000363,3022,13,824,366.0,13,27.75,1,28.51,5.6,35.63,101,3,78.6,0
CALL0000469,2153,2,691,581.3,6,26.54,1,42.41,5.04,11.46,116,5,68.61,0
CALL0000936,1777,6,712,105.9,17,22.67,5,27.55,42.13,9.37,3,3,80.02,0
CALL0000429,1587,37,779,491.0,8,10.97,4,41.1,17.16,22.72,61,0,76.03,0
CALL0000008,21,1112,104,84.6,100,69.44,106,97.09,62.68,66.08,473,29,4.52,1
CALL0000156,62,978,23,84.0,132,64.39,85,93.48,44.05,50.89,257,32,46.19,1
CALL0000542,2531,27,691,214.4,9,23.53,3,11.86,5.89,40.83,245,6,72.12,0
CALL0000441,2403,20,398,454.7,15,8.55,2,47.28,42.63,5.31,191,0,60.47,0
CALL0000483,1054,9,236,173.9,17,12.68,2,2.14,40.76,13.49,250,7,96.83,0
CALL0000423,845,47,533,69.6,13,24.9,3,29.62,18.49,10.63,111,1,74.02,0
CALL0000779,2960,45,887,497.9,18,26.33,0,1.21,15.86,24.37,237,6,66.53,0
CALL0000950,1722,36,220,633.7,18,19.73,3,46.98,24.23,45.81,69,3,62.69,0
CALL0000335,2848,1,277,235.7,7,3.63,4,18.26,5.81,22.13,166,3,87.97,0
CALL0000577,2469,3,787,94.5,3,28.35,6,14.52,10.61,3.27,46,6,87.9,0
CALL0000935,3146,6,48,401.9,17,17.85,3,21.71,26.73,46.94,20,0,68.28,0
CALL0000568,3647,8,645,395.5,12,2.57,7,2.34,9.73,6.43,19,1,68.64,0
CALL0000595,2515,20,276,489.3,7,16.19,1,1.46,24.55,47.16,97,1,94.55,0
CALL0000531,469,26,343,689.3,5,21.64,2,39.59,37.93,44.22,203,7,77.44,0
CALL0000582,1999,34,264,480.2,19,24.34,7,11.18,42.49,6.1,157,4,75.11,0
CALL0000708,1055,36,863,591.0,17,23.35,3,18.93,37.66,32.89,100,5,51.59,0
CALL0000449,240,48,216,592.5,8,13.09,6,17.99,18.36,12.94,257,3,78.23,0
CALL0000454,1298,47,392,90.2,16,9.85,0,47.25,12.1,31.87,47,1,94.48,0
CALL0000229,2389,45,226,571.7,15,18.05,7,17.05,21.23,46.22,131,5,62.72,0
CALL0000353,758,20,266,221.1,16,25.97,1,29.31,41.33,20.7,156,2,88.34,0
CALL0000729,1332,43,872,573.5,11,19.9,5,19.99,43.27,1.0,109,1,80.74,0
CALL0000213,2443,27,312,435.3,11,26.95,0,34.8,27.12,35.47,220,4,83.55,0
CALL0000080,78,588,55,38.2,263,91.68,105,59.85,40.32,49.4,717,39,0.51,1
CALL0000149,72,537,48,81.2,160,53.94,51,96.77,52.93,63.59,338,27,51.32,1
CALL0000303,2630,14,396,291.5,15,27.69,4,46.98,23.46,9.99,101,1,80.17,0
CALL0000629,2273,41,669,296.4,8,29.01,5,3.65,43.92,46.81,134,1,51.88,0
CALL0000778,3389,26,605,657.4,17,4.45,0,51.96,35.53,47.05,106,6,98.7,0
CALL0000507,1338,10,169,634.0,18,15.43,2,3.99,3.66,0.84,296,7,87.39,0
CALL0000343,2515,25,330,106.6,10,17.37,4,24.9,9.14,11.14,26,4,73.2,0
CALL0000486,1802,7,32,329.5,1,21.55,2,33.14,12.87,22.6,180,3,51.47,0
CALL0000712,3312,43,561,581.2,7,20.65,7,19.66,36.82,17.19,173,4,81.18,0
CALL0000134,63,1318,29,31.6,175,38.6,89,63.08,60.26,96.32,506,19,3.22,1
CALL0000704,1567,42,854,293.6,16,2.13,5,19.72,41.13,37.94,221,5,55.95,0
CALL0000312,2326,2,807,314.4,12,16.63,5,19.9,16.49,41.98,250,6,63.24,0
CALL0000723,218,10,69,337.4,8,8.89,3,13.59,6.31,48.8,96,2,70.81,0
CALL0000630,1019,46,885,644.8,19,17.18,4,11.32,12.95,26.06,234,1,79.1,0
CALL0000001,103,624,23,7.9,357,89.72,104,64.35,84.43,40.53,419,13,10.19,1
CALL0000317,3248,16,355,177.7,3,15.59,3,36.25,8.3,27.23,108,5,96.55,0
CALL0000707,752,32,111,327.0,11,15.23,4,41.87,17.32,0.8,289,0,77.62,0
CALL0000548,3010,37,494,278.0,11,14.36,7,42.66,37.5,10.01,194,0,67.66,0
CALL0000873,1129,5,484,472.4,16,17.51,1,5.81,27.18,29.43,160,2,86.14,0
CALL0000533,2861,1,877,680.3,15,5.61,5,17.14,3.6,22.22,45,7,78.22,0
CALL0000478,2448,45,164,632.1,3,20.78,5,30.85,27.63,13.64,186,1,66.37,0
CALL0000405,1325,36,859,296.8,12,14.11,7,26.37,31.5,23.48,244,4,62.22,0
CALL0000173,90,198,24,61.0,199,81.75,96,92.02,84.71,50.31,305,32,46.31,1
CALL0000126,89,1286,67,46.9,168,59.27,91,92.95,63.42,72.42,440,12,30.84,1
CALL0000395,1352,28,76,154.4,13,22.84,7,31.74,40.07,2.95,44,6,76.78,0
CALL0000421,1595,25,348,202.4,16,27.41,1,49.05,22.61,35.49,13,7,78.64,0
CALL0000553,986,25,755,105.0,4,18.49,3,43.27,23.74,15.33,274,5,77.86,0
CALL0000904,2417,17,728,428.8,19,24.4,2,52.72,35.03,13.59,258,1,62.48,0
CALL0000091,54,445,19,12.8,306,86.67,89,42.66,81.69,94.61,641,32,10.34,1
CALL0000940,961,49,694,403.8,11,29.52,6,18.28,15.54,8.59,193,5,75.11,0
CALL0000182,42,799,24,52.5,367,83.51,96,72.81,83.54,79.61,263,22,24.03,1
CALL0000275,1737,25,233,364.9,18,18.06,5,10.42,26.45,43.84,107,1,72.5,0
CALL0000896,2372,32,704,254.7,2,3.87,3,2.05,33.88,47.25,250,7,74.52,0
CALL0000070,2,563,5,70.9,482,92.55,93,44.13,71.9,85.34,911,16,32.47,1
CALL0000292,810,34,248,348.0,14,6.01,4,26.05,39.53,15.23,237,3,56.9,0
CALL0000132,8,915,86,70.1,280,97.95,55,90.75,32.81,92.91,279,19,27.4,1
CALL0000301,731,8,625,693.1,10,10.48,0,12.63,41.0,9.91,280,0,89.07,0
CALL0000425,3648,21,416,484.1,16,28.07,4,14.32,34.73,11.06,23,2,77.97,0
CALL0000327,1267,3,624,480.1,13,15.2,3,31.72,0.92,41.15,109,4,78.72,0
CALL0000145,41,137,76,86.7,158,57.47,70,40.3,33.01,71.4,200,25,12.13,1
CALL0000424,2458,23,715,675.0,16,4.1,7,2.5,35.13,34.45,291,7,53.92,0
CALL0000581,1187,34,667,660.0,19,0.28,2,33.78,24.06,14.47,28,0,66.6,0
CALL0000136,115,739,92,68.8,74,90.02,61,68.12,70.94,62.42,295,26,43.17,1
CALL0000451,1142,28,799,170.7,10,5.5,1,51.8,35.78,2.08,77,7,96.71,0
CALL0000165,65,116,19,56.0,492,96.31,98,49.28,64.83,71.06,172,37,45.74,1
CALL0000029,60,783,20,43.5,420,85.88,86,79.53,66.36,98.21,998,27,36.11,1
CALL0000774,1489,18,430,264.7,6,20.78,4,51.41,10.18,40.17,246,3,89.35,0
CALL0000194,23,665,65,14.5,85,74.44,75,56.72,69.98,53.58,124,13,14.39,1
CALL0000389,2791,8,398,375.8,10,26.99,0,53.92,9.94,36.47,60,6,87.49,0
CALL0000853,1032,41,604,489.6,9,20.16,7,3.81,8.13,49.03,151,4,55.4,0
CALL0000170,3,1169,109,45.6,426,64.65,103,46.24,57.29,75.02,958,14,14.26,1
CALL0000706,1016,30,714,82.9,17,8.08,3,49.25,16.87,40.86,20,6,78.3,0
CALL0000141,33,569,110,72.8,117,53.13,59,94.96,62.44,76.42,505,18,8.11,1
CALL0000174,119,1160,80,23.6,326,44.48,73,96.72,75.2,61.29,887,14,10.24,1
CALL0000007,61,656,17,32.6,155,68.42,103,40.14,78.89,92.14,653,23,1.15,1
CALL0000746,926,10,748,243.2,9,9.38,7,25.8,25.1,2.11,206,6,81.27,0
CALL0000479,1883,23,602,641.0,3,19.87,5,7.2,39.11,42.77,261,6,95.32,0
CALL0000074,60,1054,109,38.1,460,73.31,71,42.22,41.1,75.44,944,23,37.89,1
CALL0000911,2243,38,195,254.9,18,22.45,1,52.73,15.47,0.86,125,5,85.17,0
CALL0000814,2524,20,887,135.1,2,24.67,7,35.35,6.75,19.9,194,4,57.99,0
CALL0000239,2138,5,620,93.6,4,9.9,3,46.48,41.03,8.31,259,6,84.83,0
CALL0000146,28,329,16,5.5,195,67.08,77,81.05,41.16,74.27,343,38,32.9,1
CALL0000793,2505,29,549,116.8,17,11.61,6,31.13,18.46,2.56,26,0,77.23,0
CALL0000235,3402,8,170,352.3,14,19.49,1,51.62,3.84,32.65,105,7,60.94,0
CALL0000221,3474,47,147,623.9,19,1.27,0,18.22,1.84,25.96,299,5,61.22,0
CALL0000924,267,6,237,66.7,6,27.45,5,18.37,27.71,46.4,188,6,89.23,0
CALL0000501,750,35,625,526.5,19,26.34,6,19.75,20.06,27.64,50,0,50.16,0
CALL0000133,88,1258,57,54.1,135,87.88,76,66.99,41.32,44.21,801,30,4.24,1
CALL0000991,1176,44,750,301.7,17,20.63,3,2.09,29.84,4.87,11,2,66.34,0
CALL0000775,1109,4,429,416.8,1,23.87,5,19.61,22.56,21.65,19,1,58.34,0
CALL0000186,96,352,33,87.8,360,57.65,101,44.96,55.73,65.01,209,33,33.56,1
CALL0000042,60,101,32,32.6,233,94.75,70,83.96,96.55,80.47,527,23,48.78,1
CALL0000697,903,43,745,308.5,8,6.6,4,23.57,44.95,43.01,125,7,84.02,0
CALL0000109,40,503,96,55.8,63,57.66,60,89.01,43.86,40.87,842,12,39.71,1
CALL0000589,3287,4,742,447.7,3,7.8,0,28.15,21.24,46.06,234,3,51.42,0
CALL0000057,7,866,42,55.4,141,90.53,51,71.77,36.29,51.11,229,29,29.98,1
CALL0000406,1729,18,343,570.9,9,4.52,1,25.6,32.03,29.96,152,4,86.41,0
CALL0000443,389,19,894,252.7,7,29.49,1,48.65,6.18,34.4,222,3,54.44,0
CALL0000758,2659,20,509,486.3,5,24.26,1,5.82,12.91,43.36,68,7,81.46,0
CALL0000998,1082,14,141,471.7,16,18.96,6,30.2,11.87,3.45,84,1,57.62,0
CALL0000025,30,748,7,77.9,175,39.27,92,93.3,62.33,90.99,843,34,33.1,1
CALL0000468,2519,31,92,637.8,9,17.54,3,52.17,38.68,41.33,52,1,51.15,0
CALL0000540,1649,28,576,197.2,13,12.91,4,12.98,16.45,22.09,103,6,97.75,0
CALL0000532,353,38,836,218.8,5,8.53,0,33.6,32.53,43.15,288,6,74.54,0
CALL0000619,3572,28,787,395.3,11,10.33,3,15.62,18.19,36.55,78,5,72.96,0
CALL0000695,540,34,563,76.2,6,12.39,3,10.63,27.22,31.17,250,6,92.25,0
CALL0000927,2552,23,154,451.1,8,22.79,2,51.31,34.59,38.31,107,1,81.63,0
CALL0000339,2956,13,443,143.0,17,7.95,5,5.5,2.06,24.57,23,2,66.91,0
CALL0000052,116,935,58,79.4,171,41.33,96,71.29,68.83,47.83,480,17,46.31,1
CALL0000508,845,46,473,309.7,2,8.8,1,30.06,8.7,24.11,34,7,96.84,0
CALL0000517,341,14,81,687.4,10,6.9,5,50.93,39.39,12.57,289,4,71.96,0
CALL0000921,2356,15,471,524.7,5,5.36,1,15.34,2.5,47.82,206,0,90.97,0
CALL0000782,970,10,514,556.7,9,3.29,6,10.24,8.72,41.1,150,5,95.23,0
CALL0000265,2670,8,354,281.0,1,21.61,5,20.8,35.69,36.41,258,7,87.1,0
CALL0000818,2667,8,765,527.2,6,19.54,0,40.79,26.18,8.62,290,6,84.88,0
CALL0000711,382,1,364,197.0,4,10.85,7,8.04,15.1,34.83,135,7,69.84,0
CALL0000683,1197,37,168,614.5,2,6.61,0,43.88,3.47,33.9,293,5,58.57,0
CALL0000833,1264,3,651,481.5,12,15.81,7,17.39,37.82,4.57,243,7,52.09,0
CALL0000519,700,35,182,93.7,9,10.05,7,7.32,4.35,29.3,276,6,83.57,0
CALL0000448,2793,37,597,273.2,15,24.08,4,18.77,11.45,37.85,150,2,71.1,0
CALL0000019,3,732,99,18.6,118,70.11,81,84.75,86.68,75.73,201,28,29.17,1
CALL0000716,3026,24,762,269.3,7,0.39,7,8.11,17.98,26.08,74,3,92.81,0
CALL0000484,839,24,158,170.0,13,15.11,5,40.03,5.48,2.14,224,6,56.11,0
CALL0000569,3067,33,626,71.2,17,4.72,1,46.1,33.24,46.69,220,7,66.61,0
CALL0000434,1181,17,750,530.4,6,22.98,6,41.51,22.77,13.77,2,2,71.35,0
CALL0000368,482,31,536,204.8,15,16.44,3,52.34,3.26,42.68,130,6,89.17,0
CALL0000084,104,971,13,43.0,156,47.15,81,67.57,97.25,98.61,154,36,5.45,1
CALL0000062,4,1081,60,15.2,375,61.92,69,91.72,84.98,55.06,308,15,7.25,1
CALL0000639,331,27,36,226.8,3,13.79,7,14.61,40.29,14.55,13,5,90.29,0
CALL0000273,3089,1,760,150.7,7,16.02,3,50.21,12.86,20.73,253,5,58.61,0
CALL0000286,3357,36,615,103.5,2,18.74,1,41.87,41.98,41.05,246,3,58.47,0
CALL0000361,3539,30,871,278.3,11,8.53,6,2.58,25.78,20.61,260,0,63.2,0
CALL0000355,2485,14,647,615.9,9,21.06,1,15.55,8.69,2.56,147,7,60.54,0
CALL0000457,3447,14,771,436.9,13,18.29,0,23.94,27.56,38.63,54,2,64.77,0
CALL0000279,3337,37,127,139.1,1,29.1,0,36.14,20.24,34.62,52,6,92.9,0
CALL0000013,75,1454,48,70.0,187,59.36,82,96.76,76.65,66.52,379,38,21.01,1
CALL0000183,77,1092,12,85.4,399,61.28,69,84.64,57.97,87.76,194,28,40.12,1
CALL0000369,1849,14,370,640.5,9,7.57,5,23.07,12.59,43.19,156,0,59.98,0
CALL0000882,3173,48,579,215.4,9,17.23,6,50.4,20.31,13.58,68,3,85.39,0
CALL0000616,2727,4,383,459.4,6,14.58,2,5.21,5.53,31.94,251,5,87.78,0
CALL0000224,1143,45,347,610.9,11,19.93,1,7.28,42.07,43.97,212,5,97.15,0
CALL0000573,1020,45,649,476.7,7,9.56,7,49.69,38.79,30.47,250,4,93.2,0
CALL0000971,2767,40,306,345.2,1,27.72,4,35.46,24.45,31.79,131,0,59.76,0
CALL0000654,3198,31,570,442.3,5,22.12,7,14.38,11.51,0.89,141,1,85.74,0
CALL0000546,3334,41,455,583.5,14,13.04,4,5.58,1.92,40.08,125,5,97.44,0
CALL0000583,2761,28,445,99.9,15,28.46,1,44.47,17.89,35.21,175,5,50.7,0
CALL0000634,2780,20,298,384.2,13,26.05,4,21.74,36.48,16.82,95,0,83.99,0
CALL0000177,27,596,113,36.5,161,43.16,54,40.3,54.78,72.84,636,17,26.56,1
CALL0000666,1690,17,862,161.1,17,13.4,4,45.19,21.17,17.56,225,5,62.04,0
CALL0000674,341,6,659,480.1,15,20.34,0,36.95,8.79,39.87,179,7,63.03,0
CALL0000586,3398,23,679,312.1,4,28.83,1,27.72,23.11,47.55,59,3,55.03,0
CALL0000874,1663,13,133,117.2,6,5.68,6,28.62,14.72,3.3,166,6,95.31,0
CALL0000394,3287,29,465,595.5,15,27.27,7,3.03,43.31,30.19,33,6,73.74,0
CALL0000164,35,1172,10,99.7,275,42.28,85,54.47,82.97,62.04,625,26,1.33,1
CALL0000249,828,43,58,354.9,6,25.44,7,19.21,0.11,42.74,9,2,51.2,0
CALL0000635,1773,41,354,250.5,1,17.53,2,47.14,24.19,10.44,217,3,87.53,0
CALL0000886,2322,16,681,672.5,18,17.93,6,50.11,7.5,9.06,174,1,85.21,0
CALL0000670,1844,11,365,104.7,18,20.47,4,31.02,29.9,29.51,188,4,98.97,0
CALL0000376,1214,49,408,438.0,3,28.91,2,14.13,21.94,13.2,233,2,99.22,0
CALL0000413,2443,12,532,417.8,1,17.01,2,19.27,39.92,31.89,256,5,70.3,0
CALL0000075,71,502,96,37.7,122,53.11,93,68.31,74.95,95.51,576,16,48.03,1
CALL0000114,111,686,109,46.0,52,64.91,85,96.48,95.66,69.53,649,29,38.26,1
CALL0000599,1785,28,176,168.2,15,29.33,6,3.86,42.57,19.31,108,0,99.15,0
CALL0000962,2520,14,744,63.6,15,3.23,2,51.46,24.98,22.67,248,2,52.56,0
CALL0000391,1747,6,180,72.7,18,4.03,4,39.33,27.84,14.02,48,5,59.9,0
CALL0000105,72,1222,58,89.2,265,53.85,94,43.83,86.89,72.36,248,14,48.22,1
CALL0000115,53,203,117,63.1,160,72.19,90,88.75,38.57,72.0,599,32,0.18,1
CALL0000418,426,29,304,587.5,2,26.57,7,41.03,44.63,46.09,130,2,82.23,0
CALL0000526,795,24,418,162.1,4,13.86,0,11.52,9.43,34.19,216,5,83.28,0
CALL0000458,1095,35,709,147.8,8,13.39,5,21.82,25.5,23.71,12,0,85.78,0
CALL0000410,1760,49,367,552.3,19,6.19,3,28.2,11.88,21.07,91,5,64.67,0
CALL0000093,63,1116,58,65.3,162,88.41,94,63.11,37.09,93.18,378,33,43.11,1
CALL0000931,1020,41,97,676.3,5,19.41,6,28.54,37.72,9.14,28,7,93.3,0
CALL0000090,4,243,63,6.6,341,53.6,58,93.71,79.98,85.15,755,19,33.88,1
CALL0000337,1401,41,897,680.5,2,13.19,6,48.59,26.7,42.45,271,6,59.0,0
CALL0000989,1710,31,755,624.1,16,29.4,5,13.35,33.4,18.75,147,5,72.37,0
CALL0000922,3255,32,384,452.5,16,7.14,5,42.43,42.2,0.25,40,5,71.73,0
CALL0000934,1146,13,412,430.6,4,20.53,6,51.22,11.62,23.49,229,3,90.85,0
CALL0000606,2186,42,538,412.1,10,15.5,2,9.36,21.66,18.88,231,5,78.08,0
CALL0000594,1893,32,708,318.6,4,8.7,5,32.63,22.38,5.25,289,4,95.52,0
CALL0000612,1258,11,224,626.0,2,11.6,3,31.35,30.37,40.82,21,5,88.13,0
CALL0000095,90,101,90,58.8,302,57.41,88,96.43,31.27,58.71,726,14,0.29,1
CALL0000012,75,1463,118,12.7,437,52.33,100,87.64,98.32,48.6,558,15,34.36,1
CALL0000397,3380,1,766,341.9,15,9.1,6,53.29,37.04,26.54,292,7,83.0,0
CALL0000534,1950,20,126,330.3,18,1.28,3,23.18,4.87,29.33,198,2,85.7,0
CALL0000044,15,319,63,95.1,244,34.59,97,66.85,60.52,59.06,259,16,15.72,1
CALL0000043,80,741,87,95.1,330,42.51,68,43.24,82.45,41.03,638,28,35.52,1
CALL0000330,1211,14,850,170.4,9,17.35,7,53.2,14.01,15.9,275,2,98.45,0
CALL0000168,47,257,1,85.1,414,35.89,89,54.08,70.58,77.64,774,22,16.43,1
CALL0000498,3573,36,484,405.4,9,2.16,6,34.23,2.37,16.88,232,0,91.08,0
CALL0000877,1254,37,287,556.9,3,1.8,1,9.45,2.07,12.41,138,2,65.44,0
CALL0000598,693,32,156,306.9,16,5.16,5,20.78,44.32,35.63,230,2,50.27,0
CALL0000757,1974,3,836,284.3,17,23.3,7,23.42,36.94,15.0,87,4,56.8,0
CALL0000101,14,1283,9,96.4,263,74.24,53,75.45,35.0,77.18,463,22,20.24,1
CALL0000427,1673,43,862,222.6,13,28.25,3,34.94,41.51,39.12,15,3,57.73,0
CALL0000179,79,280,32,67.5,399,62.57,82,53.49,62.14,57.82,352,32,4.43,1
CALL0000445,1180,37,578,101.3,12,21.56,5,48.16,5.16,46.14,158,1,68.58,0
CALL0000417,2892,26,668,62.5,3,24.52,6,3.13,21.47,7.77,284,4,75.14,0
CALL0000871,2572,47,773,590.5,2,2.83,5,22.87,33.81,6.6,222,7,99.8,0
CALL0000883,1599,47,717,58.4,9,24.6,5,10.02,15.04,10.42,133,7,76.55,0
CALL0000681,2900,12,458,138.0,13,25.33,0,25.29,5.82,7.72,263,6,74.56,0
CALL0000178,9,401,92,12.2,53,32.52,105,88.38,56.49,55.08,892,34,7.34,1
CALL0000396,774,11,604,66.2,18,20.32,2,50.72,12.24,44.7,165,6,88.48,0
CALL0000912,2448,49,444,136.6,2,25.54,4,28.17,34.66,11.08,170,7,95.16,0
CALL0000794,1304,4,645,131.9,15,28.3,7,17.43,29.82,42.64,34,1,85.27,0
CALL0000961,2756,33,43,642.4,13,4.4,1,23.25,44.35,42.33,155,2,77.21,0
CALL0000685,1525,18,571,322.8,17,28.6,2,49.32,29.05,20.65,226,7,80.57,0
CALL0000384,3237,22,199,271.3,5,17.49,6,36.15,34.88,45.07,192,5,79.74,0
CALL0000957,3113,43,142,173.5,15,9.12,1,10.33,42.94,12.68,10,7,94.57,0
CALL0000752,1189,32,343,487.5,10,4.09,4,6.32,37.68,23.89,6,2,81.94,0
CALL0000258,1887,24,603,230.9,1,1.34,7,9.28,10.94,12.75,105,2,98.26,0
CALL0000539,3146,40,138,347.7,10,18.22,6,2.4,21.99,9.63,274,3,98.71,0
CALL0000336,2626,17,819,652.6,6,1.45,5,47.88,16.12,24.58,29,0,99.2,0
CALL0000016,100,289,42,73.8,379,37.92,57,70.76,71.01,54.9,630,11,33.83,1
CALL0000325,1477,34,481,409.2,8,7.27,1,39.53,21.84,44.4,144,0,99.48,0
CALL0000759,1135,20,343,225.9,11,23.06,0,24.64,10.84,37.36,84,6,65.03,0
CALL0000223,1695,7,62,187.3,18,7.35,4,12.35,24.19,1.64,108,4,78.08,0
CALL0000180,15,706,91,52.5,380,68.97,107,93.61,87.68,83.19,921,20,40.04,1
CALL0000984,2045,16,289,698.5,4,24.99,3,37.34,33.14,40.23,190,7,84.82,0
CALL0000023,88,1482,13,41.8,499,33.58,105,77.6,30.07,81.62,720,11,16.11,1
CALL0000357,1433,46,291,457.8,11,18.96,0,51.4,40.87,12.32,20,5,51.0,0
CALL0000667,561,48,122,321.8,18,17.34,4,10.27,16.61,27.61,34,2,58.39,0
CALL0000862,1650,20,149,435.7,13,3.15,5,27.04,38.76,28.63,268,5,74.15,0
CALL0000341,978,19,313,568.5,12,1.29,6,17.82,40.05,44.26,46,7,71.03,0
CALL0000432,2972,44,523,665.7,9,10.03,4,5.76,25.24,32.77,249,5,84.58,0
CALL0000552,1731,32,854,185.9,13,10.14,5,3.83,43.51,25.03,170,6,93.43,0
CALL0000834,3334,47,810,677.4,7,2.08,6,22.52,32.65,47.97,21,2,73.51,0
CALL0000204,1040,32,529,674.6,18,8.83,1,14.44,42.92,19.64,181,7,96.72,0
CALL0000631,2852,26,311,213.3,16,25.92,0,43.69,19.13,18.3,128,4,61.48,0
CALL0000094,18,980,55,74.9,404,38.8,74,47.34,69.39,91.8,447,16,30.48,1
CALL0000559,1660,43,682,575.5,7,28.77,2,40.27,29.51,12.18,37,0,66.22,0
CALL0000069,53,1449,108,82.4,83,67.51,102,95.02,71.28,91.01,761,12,29.82,1
CALL0000623,2685,49,589,585.9,11,15.18,3,51.86,7.95,7.73,140,3,73.81,0
CALL0000285,836,1,821,367.1,17,20.03,5,40.99,6.86,23.29,275,0,63.57,0
CALL0000845,878,3,898,314.3,19,19.7,1,26.07,40.69,26.97,251,4,91.43,0
CALL0000435,1354,4,102,230.4,19,27.89,4,38.44,8.02,15.81,172,7,59.85,0
CALL0000154,119,897,94,97.0,418,39.72,100,92.09,45.22,90.71,528,37,6.51,1
CALL0000076,44,1469,116,81.5,331,39.61,73,74.26,52.49,88.78,386,14,35.0,1
CALL0000731,2692,24,508,150.0,2,27.46,7,4.93,36.36,25.57,168,6,69.54,0
CALL0000447,1915,17,879,219.7,19,11.38,7,48.98,8.34,18.25,235,3,77.68,0
CALL0000189,52,1284,51,3.8,436,42.55,108,46.83,34.77,91.29,337,29,36.13,1
CALL0000272,2857,3,454,612.0,3,9.15,1,32.24,30.04,10.1,174,1,67.27,0
CALL0000237,3231,38,723,90.6,7,26.93,0,9.42,26.13,0.14,15,3,89.05,0
CALL0000488,641,18,150,127.9,13,23.95,7,53.32,30.12,35.41,112,2,63.86,0
CALL0000118,89,1235,61,5.5,412,94.32,66,52.76,72.55,93.94,753,39,43.68,1
CALL0000944,1203,45,884,77.0,17,16.98,4,3.04,29.05,14.1,209,0,58.9,0
CALL0000513,1577,2,694,117.9,16,3.96,6,45.49,43.38,20.8,155,6,62.65,0
CALL0000826,2089,46,707,218.1,16,13.83,7,40.38,24.1,12.97,255,4,93.58,0
CALL0000592,3128,9,40,118.8,19,22.02,4,19.04,14.89,26.76,113,3,86.73,0
CALL0000127,71,1056,76,36.0,77,80.81,71,67.34,75.6,84.07,869,18,33.19,1
CALL0000117,26,1350,16,90.2,287,90.18,83,77.16,71.04,89.98,608,35,19.55,1
CALL0000474,355,11,234,481.3,11,21.06,1,48.61,2.17,12.36,279,3,92.16,0
CALL0000694,2030,29,677,249.2,7,6.48,2,18.31,12.13,0.63,107,1,74.6,0
CALL0000058,21,393,70,44.7,219,57.08,52,79.04,40.6,83.12,826,38,54.16,1
CALL0000864,1702,22,719,523.7,15,24.63,3,53.66,7.16,11.48,112,2,93.62,0
CALL0000913,2616,1,491,461.1,4,8.66,1,5.48,25.3,14.17,47,7,71.69,0
CALL0000370,2098,34,156,354.2,8,10.36,3,26.2,14.67,38.65,74,7,56.53,0
CALL0000269,1165,7,111,575.9,7,1.68,4,54.24,44.3,16.86,27,4,60.73,0
CALL0000047,47,484,25,45.4,204,88.09,78,78.36,79.99,55.0,329,37,46.56,1
CALL0000350,3343,10,679,191.8,12,23.02,5,29.4,39.68,19.8,31,5,84.71,0
CALL0000196,109,1446,40,35.7,272,31.75,102,65.5,36.57,77.64,216,29,49.84,1
CALL0001000,865,16,88,148.4,7,13.19,7,38.94,40.14,38.62,151,1,82.02,0
CALL0000835,2270,24,897,82.8,12,29.18,7,18.11,40.27,35.81,152,6,69.86,0
CALL0000737,1187,27,91,86.8,1,10.08,0,41.01,3.62,42.09,207,1,72.84,0
CALL0000264,1904,19,599,216.7,12,28.6,6,11.28,43.19,20.65,129,0,61.52,0
CALL0000444,1640,12,723,271.0,13,19.32,4,11.99,23.38,4.88,21,4,52.9,0
CALL0000676,1655,16,228,156.0,4,17.92,0,35.53,1.13,4.94,133,4,65.95,0
CALL0000305,2101,45,443,368.1,15,9.9,3,53.64,35.06,31.4,13,3,50.92,0
CALL0000342,2751,19,478,288.8,1,13.53,2,43.28,0.51,28.89,28,7,89.61,0
CALL0000967,3009,19,723,265.4,17,19.34,2,3.14,6.37,1.22,143,5,74.54,0
CALL0000150,12,1406,85,98.7,83,80.89,109,46.46,67.43,97.63,660,35,35.34,1
CALL0000125,65,921,119,19.6,241,71.86,102,98.78,72.25,63.27,460,17,30.88,1
CALL0000787,1828,1,711,694.8,19,2.35,5,54.71,2.2,37.67,278,3,54.55,0
CALL0000051,55,346,22,75.5,110,41.29,50,92.21,79.33,47.42,911,16,25.33,1
CALL0000354,2167,32,75,50.4,14,18.06,0,37.22,18.42,26.92,156,3,54.45,0
CALL0000928,2132,39,167,602.5,14,15.07,2,12.17,33.65,4.66,65,4,93.92,0
CALL0000143,106,1145,116,42.4,116,30.32,66,56.6,90.16,79.54,441,11,23.87,1
CALL0000471,682,9,168,86.1,6,17.97,6,32.9,19.11,40.32,53,7,77.86,0
CALL0000400,869,9,328,521.0,3,14.28,7,52.03,14.22,7.6,286,2,58.11,0
